symbol,cluster,driver,cro_verdict,cro_conviction,value_conviction,director_conviction,skeptic_verdict,skeptic_cap,catalyst_status,posture,expected_return_pct,live_price,target_px,downside_floor,binding_reason
AAUC,Deal-completion,M&A close,A,4,4,79,CONFIRMED,4,PENDING_HARD,scale_in,21,25.64,31.08,23.0,"Signed friendly all-cash C$44 Zijin takeover, every approval secured EXCEPT one sovereign gate (China NDRC), against a mutual-extension-only hard 2026-07-29 outside date 37 days out; ~21% gross spread to ~$31 USD with a hard gold-ounce-backed ~$23 floor (-10%), ~2x defined-risk. Skeptic CONFIRMED, cap 4 — pinned AT the cap: the single load-bearing binary is a non-economic capital-control gatekeeper that has already delayed once over the premium + Mali risk, a fatter, less-controllable binary than a routine clearance."
AMLX,FDA/biotech,FDA readout,A,4,2,55,CONFIRMED_WITH_CORRECTIONS,68,PENDING_HARD,wait_for_date,79,15.67,28.0,4.0,"Pivotal Phase 3 LUCIDITY readout (avexitide, PBH), guided Q3-2026, fully enrolled (mechanical data-lock), overpowered (>95%) re-test of a 5-times-replicated 50-65% effect, ~$4 near-cash floor. Skeptic CONFIRMED_WITH_CORRECTIONS at cap 68. The disqualifier the bull under-weights and the reason it is NOT aggressive: the re-rate off the $4.80 low to ~$15.67 is DONE, so price upside (+79%) and downside (-74%) are roughly SYMMETRIC in magnitude — only the ~62-75% PoS tilts EV positive. A genuine defined-risk binary, but not a washed-out entry; hard cash is only ~$2.53 (the $4 floor leans on a pipeline stub)."
AQST,FDA/biotech,PDUFA,B,3,4,42,CONFIRMED_WITH_CORRECTIONS,3,SOFT_EXTENDED,wait_for_date,100,4.26,8.5,2.75,"The load-bearing catalyst ALREADY FIRED AND FAILED — the FDA issued a CRL on 2026-01-30. The board's '2026-09-30 hard date' is merely the guided NDA RESUBMISSION window, not an FDA decision; the true approval/CRL is two gates out and undated (~Q1-2027). Skeptic CONFIRMED_WITH_CORRECTIONS, cap 3 (~60), status SOFT_EXTENDED. Real, funded, differentiated second-attempt asymmetry (narrow fixable CRL, revenue-backed $2.75 floor), but undated and not imminent — watchlist for the resubmission acceptance + new PDUFA assignment, which converts it back to a dated binary worth sizing."
BBIO,FDA/biotech,PDUFA,A,5,4,84,CONFIRMED,5,PENDING_HARD,enter_now_carry,57,66.8,105,58,"BBP-418 PDUFA hard-dated 2026-11-27 sits on a POSITIVE Phase 3 FORTIFY (p<0.0001), Priority Review, NO AdCom — an approval-given-positive-data gate (~0.85), not a coin-flip; ~$67 vs ~$105 target against a FRANCHISE-backed ~$58 floor ($940M cash + already-approved acoramidis ramping to breakeven, $500M buyback bid). ~4:1 with a real, non-zero downside. Skeptic CONFIRMED at the full cap (5)."
BLCO,Idiosyncratic,forced-seller,B,3,4,33,CONFIRMED_WITH_CORRECTIONS,35,SOFT_EXTENDED,wait_for_date,79,15.08,26.97,11.8,"Removal of BHC's ~87-88% overhang via full separation is a REAL ~21% down / ~79% up asymmetry on a good growing $5.1B franchise, but the catalyst is SOFT_EXTENDED and the Skeptic capped at 35: the fast SALE path formally ended Feb-2025, and the remaining spin has NO record date, NO outside date, NO executed agreement — gated on a BHC leverage-ratio test the parent (~$20B+ debt, ~$10B due 2027) can barely pass plus litigation. Undated, parent-gated, third-party binary; best bought on a BHC-distress flush below the floor, not chased here."
CELC,FDA/biotech,FDA readout,A,5,4,74,CONFIRMED_WITH_CORRECTIONS,75,PENDING_HARD,scale_in,73,88.55,153,60,"Gedatolisib PDUFA 2026-07-17 (25 days out), Priority Review + RTOR, on a drug already de-risked by a positive pivotal cohort; the Skeptic's load-bearing correction is FAVORABLE — the wild-type cohort (the NDA basis) is the STRONGER arm (76%/67% risk reduction vs mutant 50%/49%), which raises approval odds, lifting the cap to 75. Live ~$88.55 vs ~$153 target vs a soft ~$60 fundamental floor, ~2.25:1. Pinned just under the cap; floor is a bear intrinsic value (not an arb backstop) that can overshoot below $60 on a CRL."
CLVT,Idiosyncratic,activist,B,3,2,31,CONFIRMED_WITH_CORRECTIONS,35,SOFT_EXTENDED,pass,62,2.04,6.17,1.42,"Company-run LS&H divestiture-plus-deleveraging re-rate (NOT the 'activist process' the board labeled — the May-14-2026 AGM re-elected all 10 directors cleanly). Skeptic capped at 35, status SOFT_EXTENDED: management explicitly disclaimed any timeline and any assurance of a transaction, no signed SPA exists, and the ~$1.42 floor is leverage-SOFT (FCF/credit-dependent, not cash/contract-backed) on a -4.0%-revenue, ERODING-moat base with a MATERIAL AI-displacement secular threat. Genuine ~5:1 headline asymmetry but the weakest floor + secular profile in the funnel; pass until a signed SPA with a number lands."
EYPT,FDA/biotech,FDA readout,A,5,4,78,CONFIRMED_WITH_CORRECTIONS,4,PENDING_HARD,scale_in,188,13.03,37.5,5.5,"DURAVYU Phase 3 LUGANO wet-AMD topline, fully enrolled, NON-INFERIORITY bar (lower hurdle), three consecutive positive DSMC reads, dated 'beginning Aug-2026'; live ~$13 vs $37.50 win vs a $223M-cash-backed $5.50 floor (funded into late-2027, no dilution gun), ~3.25:1. Skeptic CONFIRMED, cap 4 — held AT the cap and not higher because DSMC clears SAFETY only (efficacy still a true open binary), it is a two-leg LUGANO->LUCIA structure (a win/miss split is live), and the date is ~2-4 weeks later than the dossier's 07-31."
FIP,Idiosyncratic,forced-seller/refi,A,5,3,83,CONFIRMED_WITH_CORRECTIONS,5,PENDING_HARD,enter_now_carry,87,4.81,9.0,3.9,"SIGNED $1.52B definitive sale of Long Ridge to MARA (4/30/26), buyer already financing via noteholder consent, hard-dated to close Q3-2026 — removes ~$1.4B debt and flips FIP to a financeable pure-play rail equity. Live $4.81 vs $9.00 target (+87%) vs a recently-tested $3.90 floor (-19%); ONLY risk is regulatory TIMING (PJM/FERC conditioning), not deal economics. Skeptic CONFIRMED at the full cap (5); deal-day reaction was +8.4%, not the dossier's -7.4%. Held just under 90 because the floor is empirical (negative book equity, senior preferred ahead of common), not balance-sheet-backed."
KBR,Idiosyncratic,spin/index,A,4,5,47,CONFIRMED_WITH_CORRECTIONS,3,PENDING_HARD,wait_for_date,62,32.62,53.0,33.2,"Board-approved tax-free MTS spin with a strong value_conviction (5) — buying the 52-wk-low ~8x trough multiple with a peer-median SoP ~$73-90 (disciplined $53 target) as near-free optionality, floor essentially at spot. BUT the Skeptic capped at 3 (~60) on a STALE DATE: the spin slipped to a targeted 2027-01-04 effective date (CEO, 05/05/26) and the Form 10 is STILL CONFIDENTIAL (public filing only ~Sep-2026) — the gating regulatory step has not begun publicly, so the 'in-window PENDING_HARD' framing is false. Pushed just below the seat line: no public milestone for ~3 months, real further-slip and carry-cost risk, and live MTS revenue softening."
