symbol,adjusted_loeb_score,tier,lane,edge,thesis_summary,verdict,rr_ratio,loeb_risk_reward,valuation_method,fair_value_target,downside_floor,reference_price,reference_rr,deal_price,undisturbed_price,win_prob,target_on_win,downside_on_loss,recovery_value,announced_return_per_share,residual_value,lane_canon,lane_priority,edge_grade,verify_status,resolution_driver,adjusted_loeb_score_orig,tier_orig,rr_ratio_orig,corrections,computed_rr,ev_pct,payoff,up_leg,down_leg,live_price,drift,sop_built,edge_flags,board_priority
LBTYK,6.0,ACTIVE,spinoff,"H - the run-up is NEGATIVE. Pre-catalyst base 2026-02-17 close $11.05; announcement day 2026-02-18 popped to $12.67 (+14.7%); today $10.43 is 5.6% BELOW the pre-announcement base and 6.7% below the 200d avg of $11.17. The entire announcement pop has round-tripped, so harvest is zero (negative). Remaining capture to the re-derived, provenance-checked SoP of ~$15.5 is +49% (+73% to the $18 advocacy case); even to a harsh $12.5 floor case it is +20%. This is the opposite of the VISN/SLS pattern - the market is pricing the stub as if the spin will not close the discount.","Real, dated, forward and unfired: the Vodafone buyout leg closed in July-2026 (that leg IS fired), but the value-realizing leg - the Euronext Amsterdam listing in 2027 and the 90% distribution targeted mid-2027 - has not, and the residual-capture test comes out unusually clean because the stock at $10.43 sits 5.6% BELOW its $11.05 pre-announcement base, having fully round-tripped the +14.7% announcement pop. Re-deriving the numerator instead of inheriting it kills the circulating $37-40 target (it double-counts Sunrise, distributed away in 2024, and marks the levered Ziggo stub at up to $14/sh that ~EUR13-14bn of silo debt cannot support), but the waterfall still holds where FIP's did not: no preferred stack or PIK ahead of the common, all leverage non-recourse in the operating silos, so $2.0bn holdco cash plus $2.9bn of Liberty Growth ($14.4/sh) already exceeds the $10.43 price with Ziggo Group and half of VMO2 attached for free - my re-derived SoP is ~$15.5 (+49%). The honest brake, and why this is a 7 not a 9: the SoP discount here is chronic and partly deserved - the Nov-2024 Sunrise spin did not close it, VodafoneZiggo is guided to mid-to-high-single-digit EBITDA decline, and a 6x-levered declining-cable stub can go to zero equity on one turn of multiple compression, so the thesis needs the cash-and-ventures floor, not the Ziggo leg, to carry it. GAP: I sized Ziggo Group net debt by inversion from the ""4.5x by 2028"" guidance rather than reading it off the Q2-2026 10-Q balance sheet, and the 341m share count is inferred from market cap / price - both worth one confirming filing read before sizing a seat.",CONFIRMED_WITH_CORRECTIONS,8.14,,sop,18.0,9.5,11.37,3.55,,,,,,,,,spinoff,1,M,SKEPTIC_CONFIRMED,Spin_index_flow,6.0,ACTIVE,,[],8.14,,,,,10.43,-0.0827,18.0,['THIN_FLOOR'],6.0
ARI,6.5,ACTIVE,liquidation_capital_return,"H. RESIDUAL CAPTURE is the whole case and it is the inverse of VISN. Run-up from the pre-catalyst base: the Athene $9B loan sale was announced 2026-01-28; ARI closed $10.12 on 2026-01-27. Today's $6.88 plus the $3.75/sh already paid on 2026-07-15 = $10.63 of dividend-adjusted value, i.e. only +5.0% captured in seven months across the entire announce-sell-deleverage sequence. Remaining from today: $6.88 to $7.75-8.50 = +12.6% to +23.5%, midpoint +18.1%. Roughly 22% harvested / 78% still on the table — the opposite of buying the receipt. Sharper still on the stub: pay $6.88, receive ~$3.85 in ~7 weeks, leaving a $3.03 cost basis against $3.90-4.65 of trust claims = +29% to +53% over ~2yrs. Not a macro bet — the near leg is literally $1.24B of balance-sheet cash.","This clears the strict gate: a board-adopted liquidation plan with a hard vote date 23 days out, a contractual 30-day distribution window after it, and — unusually — a discount that has genuinely not closed. The waterfall independently supports the flagged number rather than inheriting it: post-preferred common book is ~$8.44/sh against a $7.75-8.50 projected remaining range and a $6.88 price, with the preferred stack a trivial $172.5M of cash-pay (no PIK), so the FIP failure mode is absent and the score belongs to the event, not a capped equity. Residual capture is the strongest part of the case — only +5.0% of dividend-adjusted run-up since the pre-Athene 2026-01-27 base, leaving +12.6% to +23.5% forward, with over half of it landing as cash within seven weeks. The real risks are on the tail, not the near leg: the $882M of retained investments are the residue Athene did not buy, carried at management's marks and realized over ~2 years inside an illiquid non-transferable trust — which is precisely why the discount persists and why this is a 7 rather than an 8. GAP TO NOTE: I did not fetch the DEFM14A text directly within the lookup budget; the $3.70-4.00 and $7.75-8.50 figures come from proxy coverage, but they are corroborated bottom-up by the 10-Q waterfall, so the numerator does not rest on the secondary source alone.",CONFIRMED_WITH_CORRECTIONS,,,,,,,,,,,,,,,,capital_return,6,H,SKEPTIC_CONFIRMED,Deal_close_generic,6.5,ACTIVE,,[],,,,,,,,,[],5.9
CRK,6.0,ACTIVE,dated deleveraging / asset sale,"H. Run-up from the pre-catalyst base (Aug 31 close $14.43, LOI released pre-market Sept 1): +5.8% to $15.26 — the stock popped to $16.02 (+11.0%) on 11.2M shares then round-tripped most of it within three sessions (14.95 on Sept 3). Remaining from $15.26 to the provenance-checked $18.75: +22.9%. So roughly 20% harvested / 80% still on the table — this is not a VISN-style receipt. The edge is that a cash consideration equal to 37% of market cap, contractually earmarked for debt reduction, retained less than six points of price; the market is discounting LOI-to-PSA conversion and CFIUS risk on a sovereign buyer, not the deleveraging arithmetic.","This clears the strict gate on every axis: a named sovereign counterparty, a hard $1.65B cash number with a dated Oct 31 PSA milestone eight weeks out, proceeds contractually routed to debt paydown, and — critically for provenance — a clean waterfall with zero preferred stock ahead of the common, so unlike FIP the mechanical common SoP is strongly positive rather than negative. The re-derived $18.75 comes from applying SOCAR's own implied per-unit mark (~$8.7B whole-asset, above the current $7.60B EV) to the retained ~81% against $1.5B pro-forma net debt, haircut for the Jones promote; it is not an inherited analyst target, and it happens to sit near the $18.07 200dma only by coincidence. The two live risks that hold this at 7 rather than 8 are that the LOI binds only good-faith negotiation (no signed PSA yet) and that a state-owned Azerbaijani buyer taking US shale and midstream interests invites a CFIUS review the release conspicuously does not name — plus the residual equity remains a levered Henry Hub proxy whose gas beta can swamp the event; the fast fade from $16.02 back to $14.95 is the market pricing exactly those doubts, which is also where the 22.9% remaining capture lives.",CONFIRMED_WITH_CORRECTIONS,,,,,,,,,,,,,,,,distressed,3,H,SKEPTIC_CONFIRMED,Refi_restructuring,6.0,ACTIVE,,[],,,,,,,,,[],5.76
BHF,6.0,ACTIVE,merger_arb,"H — run-up from the pre-catalyst base is +14.9% ($46.62 avg 2025-10-20/30 → $53.58) while remaining capture to the contractual $70.00 is +30.6%, so only ~30% of the $23.38 premium is in the price and ~70% is still on the table. This is the inverse of the VISN/SLS harvested pattern: the tape peaked at $66.01 on 2025-11-07 and has since round-tripped most of the premium (200d avg $62.22, 50d $60.23, now $53.58) on Delaware-review headlines, an Aquarian accounting report, AM Best's maintained under-review-negative (2026-07-29) and a Q2 miss (-13.6% post-print). The event is fully forward, un-fired, and re-priced DOWNWARD, not away.","This is a genuine unpriced hard gate rather than a receipt: the consideration is contractual at $70.00 cash, every gate except DE/NY/MA insurance approval has cleared, yet the stock sits at $53.58 — below where it traded the day the deal was signed and only 15% above the undisturbed $46.6 base — because Delaware's Form A review has no scheduled hearing, an accounting question was raised around Aquarian, and AM Best keeps the operating companies under review with negative implications. The remaining capture (+30.6%) is roughly double the run-up already banked (+14.9%), so residual, not event quality, is what carries the score; against a ~$45 break floor the payoff is about 1.9:1 with the market implying only a ~32% chance of close. The risk is that the binding constraint is regulator discretion on a buyer's balance sheet, not a calendar — a Delaware denial or a Dec 6 lapse resolves this to the floor, so size as a spread position and treat the hearing-scheduling notice as the trigger to re-underwrite rather than waiting for the closing.",CONFIRMED_WITH_CORRECTIONS,9.22,,spread,70.0,51.8,62.42,0.71,70.0,51.8,,,,,,,merger_arb,4,M,SKEPTIC_CONFIRMED,Deal_close_generic,6.0,ACTIVE,,[],9.22,,,,,53.58,-0.1416,,['TINY_FLOOR'],5.64
IRDM,6.0,ACTIVE,merger_arb,"M - run-up from pre-catalyst base is only +8.5% ($43.52 close 2026-06-26, the last print before the 06-29 announce, to $47.21 on 2026-09-05), because RKLB's ~45% slide gave back the announce pop (IRDM peaked $55.72 on 07-01, -15% since); remaining capture to the provenance-checked contractual value is +11.6% ($47.21 to $52.70) and +14.4% if RKLB recovers to the $67.50 collar floor ($54.00 cap). Remaining > harvested, so not a receipt trade - but the spread is wide for a reason (live SpaceX FCC opposition, CFIUS, mid-2027 close), and unhedged R/R is ~0.8:1 against a ~$40 break case.","The flag is materially correct and survives strict gating: a signed cash+stock deal with a named acquirer, a dated 2026-09-24 vote, and unresolved FCC/CFIUS gates to a mid-2027 close - forward, not fired, not macro. I re-derived the numerator rather than inheriting the $54 headline: with RKLB at $64.26 the ratio pins at the 0.4000 collar floor, so contractual consideration today is $52.70 (+11.6%), rising to $54.00 (+14.4%) only if RKLB regains $67.50. Residual capture is the larger half of the move (+8.5% harvested vs +11.6-14.4% remaining), so this is not a VISN-style receipt, but the spread is wide because the risk is real: SpaceX's 2026-08-28 FCC letter attacks Iridium's spectrum-interference petition record in the 19.4-19.6/29.1-29.3 GHz bands, CFIUS is untested, and the ~9-month tail to close plus a ~$40 break case leaves unhedged R/R below 1:1. Seat it only in the hedged instrument (short 0.40 RKLB per IRDM); unhedged it is a levered bet on a stock already down 45%, which is the opposite of the idiosyncratic exposure this lane is for. Gap: I did not verify RKLB borrow cost or whether an RKLB shareholder vote on the share issuance is also required - both would compress the locked spread.",CONFIRMED_WITH_CORRECTIONS,,,,,,,,,,,,,,,,merger_arb,4,M,SKEPTIC_CONFIRMED,US_sector_regulator,6.0,ACTIVE,,[],,,,,,,,,[],5.64
TRIP,6.0,ACTIVE,activist_structural,"H. RESIDUAL CAPTURE is the whole case and it is unusually clean. (a) Run-up from the pre-catalyst base: NEGATIVE, approximately -30%. The Starboard cooperation agreement became public 2026-03-23 with the stock at roughly $13-14 (it popped +7.4% that day); the TheFork deal added +5.9% on 2026-06-15. Both pops have been entirely given back and then some -- spot $9.325 vs 200d avg $12.14 and 52wk high $20.16 (-54%). 0% harvested; this is the opposite of VISN/SLS, where the gain was taken before the event. (b) Remaining to provenance-checked resolution: +52% to the $14.20 4x-stub SoP, +104% to the $19 6x case, with ~60% of spot mechanically underpinned by post-close net cash. Edge is H rather than a max because the discount has a real fundamental cause, not just neglect: Q2 2026 revenue -7% y/y with Hotels & Other -23% on AI/LLM search disintermediation, so the stub multiple can compress faster than cash accretes.","The structural trigger is real, named, dated and contractually committed -- a signed $700M all-cash AmEx put-option agreement worth 64% of the entire market cap, with Starboard controlling 4 of 10 board seats -- and the numerator survives the FIP test cleanly: preferred stock is $0, there is no PIK stack, no manager fee leakage and no contractual proceeds sweep, so the $700M (net ~= gross per company guidance) flows straight to ~116.4M common shares, swinging the balance sheet to ~$649M net cash and leaving only a ~$436M stub EV on ~$1.5B of revenue and ~$240M+ of EBITDA -- roughly 1.7x EBITDA for Viator plus Brand Tripadvisor, against the 25x EBITDA AmEx is paying for TheFork. Residual capture is essentially 100% intact, which is rare: the run-up from the pre-catalyst base is negative ~30% because the stock made its ALL-TIME LOW after the deal was signed, so this is not buying the receipt, and the remaining move to a punitive 4x-stub SoP is +52%. Two corrections to the triage note, which is why this scores 7 and not higher: there is NO company-announced formal review of a whole-company sale -- the February 2026 review was scoped to TheFork and has already resolved into this signed deal, and the Viator/metasearch ""all options open"" language is CEO optionality from a Skift interview, not a board process; and the discount has a genuine fundamental driver (Q2 revenue -7% y/y, Hotels & Other -23% on AI search disintermediation), so the cash is certain but the stub is a melting asset and no dollar-sized buyback authorization has yet been committed. GAP: I did not obtain the exact share count or a buyback authorization figure from the 10-Q itself; shares are backed out from cap/price, and the capital-return size remains the key unverified variable to check at Q3 earnings.",CONFIRMED_WITH_CORRECTIONS,,,,,,,,,,,,,,,,activist,5,H,SKEPTIC_CONFIRMED,Activist_process,6.0,ACTIVE,,[],,,,,,,,,[],5.52
KBR,5.5,ACTIVE,spinoff,"M. RESIDUAL CAPTURE: (a) run-up from the pre-catalyst base = NEGATIVE 23.0% — KBR closed $47.84 on 2025-09-23, the last session before the 2025-09-24 separation announcement, popped to $49.51 on the news and has since de-rated to $36.82; zero of the spin is harvested, the opposite of the VISN/SLS failure mode. (b) remaining from $36.82 to the provenance-checked SoP = +47.5% to base $54.3 and +82.5% to bull $67.2, with a ~$30 floor giving reference R/R ~2.6:1. Why only M and not H: the 23% de-rating over 11.5 public months is informative, not free — it tracks a real H1-26 cash-flow slump and MTS margin compression to 11.4% against 20.0% at STS, plus FY27 US government budget risk, so the market is pricing execution doubt rather than ignoring the event. The re-rating is also diffuse (post-separation multiple expansion over 2027) rather than a discrete date-stamped pop, and a $4.6B-cap spin with a named date is a crowded, well-covered setup — the edge is the unharvested discount, not information asymmetry.","The event is real, dated, board-approved and genuinely forward: a tax-free Form 10 spin of Mission Technology Solutions as Trinzic with a named 2027-01-04 distribution date, named CEO/CFO designates, and the registration statement still to go effective — nothing here is fired. The mandatory numerator check clears cleanly and is the strongest part of the case: KBR carries $0 preferred, $2.49B net debt, $6M minority interest and 126.1M shares, so a mechanical SoP on annualized H1-26 segment EBITDA ($592M MTS + $520M STS, less ~$100M corporate) supports $54-67/share against $36.82 without inheriting a single analyst number — the opposite of the FIP case where a $1.6B pref stack ate the common. The check on the other side is that the market has had 11.5 months with this and has taken the stock DOWN 23% from the $47.84 pre-announcement base, on a cash-flow slump and 11.4% MTS margins, so what is left to capture (+47% base) is real and unharvested but requires post-spin execution and multiple expansion rather than the date itself; that plus an undisclosed Trinzic opening balance sheet and an unconfirmed Form 10 filing date caps this at a 6, held ACTIVE.",CONFIRMED_WITH_CORRECTIONS,4.5,,sop,53.0,33.2,35.21,8.85,,33.0,,,,,,,spinoff,1,M,SKEPTIC_CONFIRMED,Spin_index_flow,5.5,ACTIVE,,[],4.5,,,,,36.82,0.0457,53.11,['THIN_FLOOR'],5.5
DDL,6.0,ACTIVE,liquidation_capital_return,"H. Residual capture is essentially fully intact and negative: pre-catalyst base = US$3.20 close on 2026-02-04 (day before the 2026-02-05 announcement); today US$2.26, so the run-up from the pre-event base is MINUS 29% - the stock fell 14% on announcement day and has de-rated further, the opposite of a harvested event. Remaining capture from US$2.26 to provenance-checked favorable resolution: ~+73% on the conservative unit count (US$997M gross less ~US$20M minority and ~10-12% PRC indirect-transfer tax/fees on 216.6M FMP-implied units = ~US$3.90) and up to ~+130% if the 2-ordinary-per-ADS ratio holds (162.5M ADS, ~US$5.20/ADS). Zero percent harvested, 100% still on the table.","This is a real, dated, forward, non-macro hard catalyst with a clean equity waterfall: a signed cash SPA with a named counterparty, shareholder approval already banked on 2026-03-27, zero preferred ahead of the common, and roughly US$997M of contracted cash against a US$367-489M equity - and critically, none of it is harvested, since the stock sits 29% BELOW its pre-announcement 2026-02-04 base of US$3.20. The discount exists for identifiable reasons rather than neglect: SAMR anti-monopoly clearance on a horizontal Meituan/Dingdong fresh-grocery combination is genuinely uncertain and undated, the PRC indirect-transfer tax on the proceeds is unquantified in the filings, and the capital-return leg is only a stated board intention (2026-02-10 press release, ""substantial majority"" for buybacks/dividends) rather than a binding covenant - the classic China-ADR risk that the cash strands in a Cayman shell. Verification gaps I could not close inside the lookup budget: whether the US$280M upstream actually completed by its 2026-08-31 deadline, the SPA long-stop date, and the exact ADS-to-ordinary ratio; all three are worth one confirming lookup before sizing, and a missed Aug-31 upstream would be a material negative datapoint. Score 7 rather than higher because the payoff depends on a regulator with no clock and on a non-contractual distribution promise; score not lower because the residual capture is 100% intact and the waterfall re-derivation supports the flagged upside.",CONFIRMED_WITH_CORRECTIONS,2.56,,capital_return,3.18,1.9,2.425,1.43,,,,,,,2.98,0.2,capital_return,6,H,SKEPTIC_CONFIRMED,Foreign_regulator,6.0,ACTIVE,,[],2.56,,,,,2.26,-0.068,,[],5.4
RYAM,5.5,ACTIVE,"M&A / strategic-alternatives sale process (pre-bid, no announced price)","M-to-H. Residual capture is the strongest part of the case and it verifies hard: pre-catalyst base = 2026-04-17 close $10.21; the stock FELL to $9.09 on the 2026-04-20 announcement (CEO Scott Sutton resigned the same week, an interim Office of the CEO was installed) and sits at $8.50 today — run-up is MINUS 16.7%, i.e. the process is not merely unpriced, the tape has de-rated straight through it ($8.50 vs 200d $8.42, dead flat; 52wk high $11.85). Remaining capture from $8.50 to the provenance-checked favorable-resolution range $11.50-13.50 is +35% to +59%. Held below H because this is a levered stub, not a clean SoP: $755M adjusted net debt at 4.2x net-secured leverage against a $573M cap means the explicitly-listed ""continue standalone"" branch takes it back toward $5.38-6.50 (-25% to -35%), so reference R:R is ~1.6:1, not 3:1.","The flag's core claim checks out and is unusually clean on the residual-capture test: this is a formally advised, board-committed sale process with a dated Q4-2026 conclusion reaffirmed five weeks ago, and the stock is 16.7% BELOW where it traded the day before the review was announced — it sold off on the news because the CEO resigned into it, so there is literally zero harvest and the price is pinned to its own 200-day. Numerator provenance clears: there is no preferred stock ahead of the common, so unlike FIP the waterfall is just $755M of net debt against 67.5M shares, and a control sale at 8.5-9.0x the ~$173M covenant EBITDA implied by the disclosed 4.2x net-secured leverage mechanically supports $10.60-13.55/share versus $8.50 today. What holds this to a 6 rather than the flagged 7 is that G1 never fired — 4.5 months in, no counterparty, price or LOI has been named, only ""unsolicited expressions of interest"" — and the same leverage that creates the upside makes the distribution genuinely two-sided: the review's own scope lists ""continuation of the standalone plan"" as an outcome, Paperboard/High-Yield Pulp is burning $10M a quarter, and a no-deal print takes a 4.2x-secured-levered equity back toward the $5.38 low, so the reference risk/reward is ~1.6:1 and this should be sized as a levered event stub, not a spread.",CONFIRMED_WITH_CORRECTIONS,,,sop,3.86,3.0,7.99,-0.829,,,,,,,,,merger_arb,4,L,SKEPTIC_CONFIRMED,Deal_close_generic,5.5,ACTIVE,,[],,,,,,8.5,0.0638,3.86,['NO_UPSIDE'],5.14
ANNX,6.0,ACTIVE,dated-binary,"H. Residual capture is the reason: run-up from the pre-catalyst base is NEGATIVE. Both Q4 events became publicly knowable in early January 2026 (the ""multiple registrational milestones in 2026"" guidance plus the 2026-01-08 MAA filing); ANNX was $5.22 on 2026-01-05 and is $4.87 today, i.e. −6.7%. It is also −13% from the $5.60 close on the 2026-08-06 positive FORWARD data print and −9.6% below its $5.39 200-day average. Nothing has been harvested — the stock has de-rated INTO the catalyst window, the opposite of the VISN/SLS pattern. Remaining to the re-derived $8.75 fair value is +79.7%; to the $14.00 advocacy case, +187%. The offsetting drag, and the reason this is not scored higher: shares went 149M → 162M → 175M in six months (+17.4%) on continuous ATM issuance against ~$50M/quarter burn and $209M of cash — the ""unmoved"" price is partly the company selling into its own good news, and that dilution compounds until the events resolve.","Both flagged events verify as real, hard, dated and fully forward, and the residual-capture test — which kills most names in this lane — passes cleanly here: the catalysts have been publicly knowable since January yet the stock is 6.7% BELOW its pre-catalyst base and 13% below its post-FORWARD-data print, so essentially none of the upside has been harvested. The capital structure carries no preferred and $175M of net cash, so the equity waterfall fully supports the upside and no analyst target was inherited; re-derived from the ground up, tanruprubart alone justifies roughly the current $623M EV, which means ARCHER II is being carried at zero. The two real haircuts are that ARCHER II's primary endpoint prospectively tests a post-hoc visual-acuity finding from a Phase 2 that MISSED its own lesion-growth primary — a genuine coin flip that the Month-24 dual-primary addition tacitly concedes, even though the market shrugged it off (5.34 to 5.26 on 2026-08-12) — and that relentless ATM issuance (+17.4% shares in six months against ~$50M quarterly burn) is eroding the per-share claim while the clock runs. Idiosyncratic, not a macro bet; ACTIVE at 7 on unharvested capture and a clean waterfall, capped below 8 by endpoint risk and ongoing dilution.",CONFIRMED_WITH_CORRECTIONS,,,binary_prob,11.5,2.0,5.145,0.22,,,0.45,11.5,2.0,,,,bio_convergence,9,H,SKEPTIC_CONFIRMED,FDA_clinical_readout,6.0,ACTIVE,,[],,0.2885,2.31,6.63,2.87,4.87,-0.0534,,[],5.04
